NP,NC,mode,trial,total_ops,duration_ns,ops_per_sec,ns_per_op,min_thread_rate,max_thread_rate,sum_prod_rate,total_iters,iters_per_op
1,1,queue-only,1,132759762,3002289167,44219575.27,22.61,44219575.27,44224961.51,44224961.51,284513401,1.071
1,1,queue-only,2,128487710,3005015292,42757796.70,23.39,42757796.70,42763200.95,42763200.95,274260628,1.067
1,1,queue-only,3,128021284,3005021666,42602512.78,23.47,42602512.78,42607893.80,42607893.80,274783373,1.073
1,1,queue-only,4,132274722,3004996459,44018272.57,22.72,44018272.57,44023707.78,44023707.78,281743085,1.065
1,1,queue-only,5,125845089,3005011167,41878462.03,23.88,41878462.03,41883853.34,41883853.34,269063261,1.069
2,1,queue-only,1,32730020,3005022209,10891830.92,91.81,5422409.80,10891830.92,10891781.32,897739862,13.714
2,1,queue-only,2,33170966,3005021292,11038550.91,90.59,5499474.96,11038550.91,11038518.58,901770130,13.593
2,1,queue-only,3,33413494,3005068583,11119253.53,89.93,5533662.49,11119253.53,11119050.49,870702363,13.029
2,1,queue-only,4,33191695,3005014458,11045475.86,90.53,5514491.17,11045475.86,11045438.32,913736282,13.765
2,1,queue-only,5,32863643,3000139875,10954082.88,91.29,5385182.92,10954082.88,10954041.78,851664359,12.958
1,2,queue-only,1,34594811,3004042584,11516122.53,86.83,5735836.24,11521581.09,11521581.09,815197137,11.779
1,2,queue-only,2,36405611,3005026375,12114955.10,82.54,6049534.94,12120357.68,12120357.68,837910866,11.505
1,2,queue-only,3,35407674,3005023625,11782856.28,84.87,5879405.43,11788278.86,11788278.86,804358276,11.356
1,2,queue-only,4,36190441,3005024875,12043379.12,83.03,6019491.13,12048760.16,12048760.16,807305550,11.151
1,2,queue-only,5,35104330,3004052083,11685688.15,85.57,5829072.37,11691104.22,11691104.22,816026153,11.620
