NP,NC,mode,trial,total_ops,duration_ns,ops_per_sec,ns_per_op,min_thread_rate,max_thread_rate,sum_prod_rate,total_iters,iters_per_op
1,1,queue-only,1,117767645,3005008917,39190484.73,25.52,39190484.73,39195890.68,39195890.68,251470765,1.068
1,1,queue-only,2,121218652,3005012917,40338853.68,24.79,40338853.68,40344255.20,40344255.20,264227930,1.090
1,1,queue-only,3,117166666,3005031333,38990431.57,25.65,38990431.57,38995495.30,38995495.30,245828906,1.049
1,1,queue-only,4,117992306,3003148125,39289570.28,25.45,39289570.28,39294985.49,39294985.49,246787433,1.046
1,1,queue-only,5,120966461,3005017333,40254887.75,24.84,40254887.75,40260229.01,40260229.01,253112318,1.046
2,2,queue-only,1,31931816,3001536875,10638570.88,94.00,5308187.51,5332491.54,10640679.05,136052533,2.130
2,2,queue-only,2,31850677,3005037584,10599162.18,94.35,5285220.91,5313941.28,10604376.78,135879622,2.133
2,2,queue-only,3,32708436,3005038334,10884632.10,91.87,5351613.02,5533019.09,10885734.78,150019422,2.293
2,2,queue-only,4,31809834,3005036209,10585596.92,94.47,5282951.57,5302645.35,10585775.89,131682403,2.070
2,2,queue-only,5,31899008,3003981584,10618993.48,94.17,5295409.05,5323584.43,10623271.99,147084470,2.305
4,4,queue-only,1,18380109,3005129125,6116367.58,163.50,1469843.89,1597601.90,6120265.43,503129893,13.682
4,4,queue-only,2,17556156,3005145875,5842205.95,171.17,1407754.18,1514893.03,5842192.42,364261767,10.374
4,4,queue-only,3,16694785,3001701916,5561865.26,179.80,1325471.39,1443207.34,5561799.52,197373752,5.911
4,4,queue-only,4,16419984,3005071500,5464193.31,183.01,1312499.99,1449840.70,5469376.13,140280280,4.270
4,4,queue-only,5,16353312,3005096292,5441984.58,183.76,1291714.84,1465466.91,5442656.24,202723799,6.198
8,8,queue-only,1,8326981,3003068375,2783610.75,359.25,310652.18,383696.34,2772938.80,5797507622,348.114
8,8,queue-only,2,9371887,3000912000,3136215.88,318.86,360283.92,442150.81,3125746.54,5221499782,278.456
8,8,queue-only,3,11661423,3005222209,3895144.28,256.73,402414.18,572011.58,3881428.16,5482086373,235.024
8,8,queue-only,4,10918453,3012937625,3635593.07,275.06,376270.51,644471.18,3624332.26,5319531045,243.595
8,8,queue-only,5,8488787,3004221583,2834824.87,352.76,315634.87,388620.22,2830515.60,5916713366,348.205
16,16,queue-only,1,5202163,3005531833,1748932.41,571.78,78509.14,149444.79,1735761.27,9128232988,877.000
16,16,queue-only,2,4607219,3003142375,1538725.93,649.89,69239.98,123436.67,1535964.95,9758340234,1059.027
16,16,queue-only,3,4797223,3001675583,1610381.37,620.97,71084.45,128873.44,1602185.55,9508475192,991.035
16,16,queue-only,4,4795313,3005640166,1597958.24,625.80,76178.56,137503.28,1601170.92,9253818636,963.420
16,16,queue-only,5,4834604,3005563250,1616460.17,618.64,79043.84,154520.13,1614983.21,9461148473,976.827
1,1,spsc-pair,1,69491739,3004982875,23125533.29,43.24,23125502.50,23125533.29,23125502.50,0,0.000
1,1,spsc-pair,2,65799252,3000666333,21928415.68,45.60,21928213.84,21928415.68,21928213.84,0,0.000
1,1,spsc-pair,3,66683050,3005013834,22190623.76,45.06,22190597.63,22190623.76,22190597.63,0,0.000
1,1,spsc-pair,4,63283710,3005013083,21059401.10,47.48,21059380.11,21059401.10,21059380.11,0,0.000
1,1,spsc-pair,5,67944145,3005006167,22610317.99,44.23,22610317.99,22610323.95,22610323.95,0,0.000
2,2,spsc-pair,1,764714540,3005045750,254479131.02,3.93,125910440.23,128568543.43,254478983.66,0,0.000
2,2,spsc-pair,2,733346255,3005035667,244041485.83,4.10,119627627.37,124414352.00,244041979.37,0,0.000
2,2,spsc-pair,3,730478612,3005033709,243087166.64,4.11,118704339.34,124383397.72,243087737.07,0,0.000
2,2,spsc-pair,4,774454909,3005028917,257721354.57,3.88,127462601.60,130259825.51,257722427.10,0,0.000
2,2,spsc-pair,5,597887584,3005743541,198916782.61,5.03,98688100.96,100228417.71,198916518.67,0,0.000
4,4,spsc-pair,1,816421495,3010552667,271200738.27,3.69,66011059.35,70709083.51,271203005.12,0,0.000
4,4,spsc-pair,2,788584270,3005111500,262439879.32,3.81,62851316.83,68766891.14,262427297.54,0,0.000
4,4,spsc-pair,3,803487341,3008023708,267121033.31,3.74,65166537.81,69507621.46,267131863.32,0,0.000
4,4,spsc-pair,4,728374486,3005558334,242431936.07,4.12,57753736.15,64537433.20,242350034.29,0,0.000
4,4,spsc-pair,5,792046339,3005091583,263574348.94,3.79,63694264.41,69785905.04,263571952.25,0,0.000
8,8,spsc-pair,1,468825457,3001642417,156614123.71,6.39,17652783.14,20884847.08,156214883.77,0,0.000
8,8,spsc-pair,2,487431363,3005542334,162294200.72,6.16,18259273.75,21840461.94,162218729.54,0,0.000
8,8,spsc-pair,3,508531683,3003899500,170036568.49,5.88,19682734.86,23605530.23,169346226.06,0,0.000
8,8,spsc-pair,4,499004234,3005254959,166487709.92,6.01,18508359.23,22073839.35,166060360.09,0,0.000
8,8,spsc-pair,5,501707403,3008695667,167067134.93,5.99,18995705.72,22302881.90,166819624.25,0,0.000
16,16,spsc-pair,1,447607094,3005533291,150190459.97,6.66,8774817.96,9902160.92,149340204.62,0,0.000
16,16,spsc-pair,2,438168921,3005568000,146610929.24,6.82,7951519.27,10081814.14,146162754.63,0,0.000
16,16,spsc-pair,3,413852711,3001678333,138363855.48,7.23,7878199.52,9673845.89,138039816.40,0,0.000
16,16,spsc-pair,4,408482866,3005754000,136151250.64,7.34,7763256.76,9259606.79,136011548.91,0,0.000
16,16,spsc-pair,5,443323736,3005621958,147655285.71,6.77,8138473.28,10136906.13,147692652.57,0,0.000
1,1,spsc-shard,1,97744807,3002059000,32559298.31,30.71,32559255.83,32559298.31,32559255.83,0,0.000
1,1,spsc-shard,2,112778085,3005017042,37530148.41,26.65,37529954.88,37530148.41,37529954.88,0,0.000
1,1,spsc-shard,3,66825293,3000065209,22274657.12,44.89,22274613.81,22274657.12,22274613.81,0,0.000
1,1,spsc-shard,4,73958778,3005013583,24611833.81,40.63,24611795.24,24611833.81,24611795.24,0,0.000
1,1,spsc-shard,5,74920211,3005005667,24931818.08,40.11,24931812.57,24931818.08,24931812.57,0,0.000
2,2,spsc-shard,1,163404932,3004204333,54392419.82,18.38,25734114.69,28658176.62,54392120.77,0,0.000
2,2,spsc-shard,2,193130432,3005044041,64269409.74,15.56,31596594.49,32672650.86,64268785.86,0,0.000
2,2,spsc-shard,3,166029386,3005033958,55250787.66,18.10,26163242.78,29087413.53,55250469.10,0,0.000
2,2,spsc-shard,4,204161638,3003189792,67982251.55,14.71,32850442.19,35131987.27,67982822.80,0,0.000
2,2,spsc-shard,5,161897828,3005047459,53875846.66,18.56,25918594.65,27957108.26,53875317.93,0,0.000
4,4,spsc-shard,1,1793043857,3003683917,596963327.47,1.68,141562000.22,156153614.31,596952474.48,0,0.000
4,4,spsc-shard,2,1581391459,3000196250,527111250.87,1.90,127184949.89,138186693.66,527100690.68,0,0.000
4,4,spsc-shard,3,1818712486,3003210291,605609413.16,1.65,144964009.84,157906709.78,605594533.95,0,0.000
4,4,spsc-shard,4,1723796510,3004129459,573834514.34,1.74,136388227.47,151120457.46,573814503.60,0,0.000
4,4,spsc-shard,5,1873527464,3005079625,623468271.44,1.60,154099492.96,159429081.71,623460115.85,0,0.000
8,8,spsc-shard,1,955700068,3005302125,319329245.34,3.13,33846605.01,45309698.72,318021346.56,0,0.000
8,8,spsc-shard,2,963897121,3005353917,321293427.22,3.11,36744939.25,43061905.55,320748593.96,0,0.000
8,8,spsc-shard,3,876348836,3002627083,292336472.27,3.42,32155668.61,40172069.75,291886058.94,0,0.000
8,8,spsc-shard,4,994367870,3001701417,332237412.78,3.01,34685231.80,46215642.82,331287422.06,0,0.000
8,8,spsc-shard,5,952534863,3005391667,318077333.41,3.14,36594056.79,43687970.75,316967979.04,0,0.000
16,16,spsc-shard,1,392164071,3005210542,131569274.05,7.60,4714278.36,13005445.37,130675750.95,0,0.000
16,16,spsc-shard,2,418236516,3002222667,139757573.25,7.16,5271453.78,13558596.88,139424361.27,0,0.000
16,16,spsc-shard,3,417724730,3005754333,140107425.25,7.14,5935995.48,13260132.99,139157692.61,0,0.000
16,16,spsc-shard,4,413898330,3005721834,138148952.66,7.24,5269428.55,12403244.83,137875489.83,0,0.000
16,16,spsc-shard,5,355566861,3005627458,119092680.19,8.40,4879354.63,11404721.50,118443821.48,0,0.000
2,2,batch8,1,23658094,3005030042,7872898.79,127.02,3935679.63,3937154.98,7872834.61,96037589,2.030
2,2,batch8,2,23743718,3005034833,7901382.75,126.56,3933891.50,3967424.39,7901315.90,95752843,2.016
2,2,batch8,3,23633535,3003189708,7869554.03,127.07,3921695.25,3947858.78,7869482.59,95906562,2.029
2,2,batch8,4,23507881,3005057500,7822833.90,127.83,3904023.37,3918810.53,7822775.06,96812790,2.059
2,2,batch8,5,24187993,3005029000,8049214.02,124.24,4008621.81,4040592.21,8049174.68,104204505,2.154
2,2,batch16,1,23675781,3005033625,7878799.42,126.92,3903989.06,3974748.15,7878737.21,106454346,2.248
2,2,batch16,2,23260756,3005041125,7740629.88,129.19,3857038.73,3883544.39,7740583.12,94627429,2.034
2,2,batch16,3,23658766,3005037542,7873108.37,127.01,3881373.86,3991664.93,7873038.79,107566867,2.273
2,2,batch16,4,23500437,3005034500,7820403.41,127.87,3868735.62,3951622.63,7820358.24,96609866,2.055
2,2,batch16,5,31083703,3005330000,10342935.13,96.68,4583914.07,5758950.88,10342864.95,342029763,5.502
2,2,batch32,1,33327346,3001843916,11102882.25,90.07,5379746.86,5723135.39,11102312.84,320941471,4.815
2,2,batch32,2,29023270,3005043000,9658264.62,103.54,4271866.10,5386326.21,9658192.31,405845737,6.992
2,2,batch32,3,23254711,3000871667,7749410.28,129.04,3833072.45,3916256.18,7749328.63,109653592,2.358
2,2,batch32,4,23588292,3005027875,7849653.35,127.39,3907218.36,3942434.99,7849611.40,95080722,2.015
2,2,batch32,5,24339764,3005039042,8099698.78,123.46,4005819.90,4093833.72,8099653.62,115442885,2.371
4,4,batch8,1,11376648,3002180084,3789536.49,263.88,903607.51,1017806.63,3789485.40,216758140,9.526
4,4,batch8,2,11549061,3005388667,3842868.76,260.22,922825.01,1002968.74,3842816.45,189107707,8.187
4,4,batch8,3,11431320,3005077583,3804080.49,262.88,892175.12,982988.10,3804020.46,220123337,9.628
4,4,batch8,4,11731430,3005066958,3903951.85,256.15,954786.59,991872.53,3903896.27,205847268,8.773
4,4,batch8,5,11460570,3005103500,3813999.69,262.19,911773.72,1035163.10,3813717.54,276062573,12.044
4,4,batch16,1,11677188,3005070541,3885895.04,257.34,946175.62,999755.66,3885845.43,207494665,8.885
4,4,batch16,2,11610211,3005073542,3863617.39,258.82,940202.65,991636.78,3863557.36,176554786,7.603
4,4,batch16,3,11535563,3002762708,3841717.25,260.30,942387.10,985676.08,3841667.92,205601060,8.912
4,4,batch16,4,11720993,3004469625,3901285.34,256.33,931465.83,1029909.61,3901239.11,182430480,7.782
4,4,batch16,5,11503112,3005064375,3827975.85,261.23,888818.77,1019471.54,3827928.18,270896406,11.775
4,4,batch32,1,11595650,3005061542,3858774.87,259.15,897246.91,1046070.44,3858718.86,198382500,8.554
